"id","staker","amount","total","block","locked_until","timestamp"
28710,"0xc563870e39B8505A703a06EF6F6bB8FE5BFf6AD1",500000000,500000000,3342202,1642156095,1620755969
10447,"0xF5F5606BC67c82d5BD1E3FB344B6362078742A6C",102506162695,102506162695,3244748,1640946495,1617710227
625706,"0x3cE2998DF034E8424c14c23E7ffCF76F117A5f7a",11649435899,11649435899,3429773,1707474495,1623524210
610260,"0x69dCD9B805D27418234d68d5e011D4d9c6642bCD",630707914,630707914,3420587,1705055295,1623224730
13152,"0x6A837C0d0C20A25202982C0C489F83B6b70E8D61",8192460758,8192460758,3284322,1706264895,1618990020
28701,"0xbd531Bd6f31Deba8FD3B58D16B76E0df3954Ebcd",1445008921,1445008921,3342170,1627640895,1620754864
29813,"0x0148715bF8F3dD3fB39C742EfbDC564a5693A884",2002531869,2002531869,3352448,1626431295,1621078312
631017,"0x26b67a29AbA802b74A0befEc5DFE8FB760A61d2C",40000000000,120000000000,3432077,1707474495,1623598087
10856,"0x0D205efD9f21B59B3608013252EDEF572F9f234C",10000000000,10000000000,3245490,1643365695,1617734294
11491,"0x93AF7f678c8965f9a6577E890c068cf867076abC",376686062259,376686062259,3264521,1625221695,1618353363
15395,"0xf5d676bB3D17e76b197dC0E2ae79Ab5123188Dd5",137838651,137838651,3308333,1640946495,1619730303
12527,"0xcc013ecF4ea3Ece29930451e2Cc7c60Df6Db6841",1865529030,1865529030,3269045,1651832895,1618504674
15195,"0x1a3dE58f4DeFe340BEE9f83f7bB5911415397162",500070000,500070000,3302564,1630060095,1619548977
76592,"0x125F643CF2147f8C625828B010C360AdD8bA62dA",6747322975,6747322975,3378515,1628850495,1621908264
15296,"0x05480882C86BE2bd9D3da7464CA67dd4046e101D",300000000,300000000,3305767,1640946495,1619646874
11524,"0x3BFA3222b46318361649A3f35F624A6fe6C46571",327252749,327252749,3264860,1626431295,1618365194
15957,"0x16758e8Ef323D6ef919FE80d5556BE050a8A3083",18943888039,18943888039,3314234,1640946495,1619908454
76537,"0x24a41ac207Cf0D0fDFeBE20A952498E1b393ebDC",35866087,35866087,3377733,1706264895,1621884011
15537,"0x2d95F7A6C10328c4bcfba4f1Ef96154e47Acaf48",10250000000,10250000000,3310141,1707474495,1619786089
614427,"0x075757b546A83B8607A917a6Ef13eC2a16C80246",15000000000,15000000000,3421574,1628850495,1623258067
15361,"0xE279Fb9a88052E27774c11d2bE82C931475bF047",100000000,100000000,3307735,1642156095,1619711256
28573,"0x8c22908E1FA26E5bD070899E38e00B34b533B63F",2300000000,2300000000,3341029,1627640895,1620719823
12333,"0xD2677B1beda4c5879718adD25ad02386Fff408c3",981574944,981574944,3268390,1626431295,1618482900
28512,"0xf6256a4EaBd24C34B4774CbE1d930B5F5634f24F",10000000,10000000,3339905,1639736895,1620684941
11174,"0x1486947a7a32631B15dAB6a092e460be03FB5c5f",1000000000,1000000000,3253697,1649413695,1618002647
79837,"0xE74Acf3B57d092dB0E2f71F0435Bab6eD95c3A72",125741838,228044180,3395395,1707474495,1622430800
28473,"0x564ec007063805350818bFd02BE23e1830A5a38c",2190496788,6660227289,3339532,1625221695,1620674170
10488,"0xfD5350a10f23d7123432ED1e5ec921E600941C6E",1701585866,102711585866,3244802,1707474495,1617712174
16231,"0xA8DAE124096797D15C4041c43f9F1987B27a5fe7",30000000000,30000000000,3318571,1627640895,1620037484
29520,"0xBAbed70798c612d8F10b79b92012AeB5471C803F",2546015096,2546015096,3344610,1627640895,1620831288
76658,"0xB20EC6c949EF1EfbF6588297016794D7fBe1E8Da",49497086081,49497086081,3381328,1707474495,1621994237
76981,"0xd67D00aB2D1594446b68b6E42FA723232AE8e5b0",7513333208,18067266407,3384438,1626431295,1622091022
15999,"0xd6b265454Fa6250727f9F0C760D1dD96D3724851",100000000,100000000,3314687,1633688895,1619921184
11880,"0xec8e5C7b2e715439AA0B613649b0465248905dF3",9008476883,9008476883,3266800,1627640895,1618430695
13029,"0xaB983528f2A152A01385d67111499aBb7166C488",5047318740,5047318740,3283150,1642156095,1618953802
683027,"0x66f6794168b6E0c8A55a675ea262625304E755f7",1000000000,1000000000,3437114,1707474495,1623761122
15521,"0xeD4a7eDa47FA17310779adAe07C235f8402Bb9bd",100000000,100000000,3310050,1649413695,1619783246
620605,"0xD745259432406E22686fBcb88b19d82432e6007e",8977437274,8977437274,3428366,1627640895,1623479752
11522,"0x39DD963Ad091d1e41139635A01732d0075e6a5A1",7785745265,7785745265,3264817,1627640895,1618363876
14857,"0xd48e614890121fEC84d706E96c2DB553a03FB3DA",210916364,210916364,3292366,1680863295,1619237267
16170,"0xC78a2b33C05ae76b2F2f3251390dAC7Ba2721C5E",200000000,200000000,3317239,1634898495,1619997586
11043,"0x5840c74543AF2E5196CAfceEAE2951cB85E433e0",40000000000,40000000000,3248919,1642156095,1617846469
12653,"0xDd91B25B0103548b5655F5830d16D33f93e65A70",130000000000,130000000000,3271262,1650623295,1618577889
12797,"0xE5FF9E4A87E2260ba4f7dF48f1804f5f6464D4b6",12995148902,12995148902,3277112,1639736895,1618762602
12927,"0x2912d7C69FcCB5aDa64C7B1EBA22F715592Ea0bE",525000000,525000000,3282562,1706264895,1618935693
28576,"0x6206A075639B2eCeD6afF65e4F9859C44b0dC1D4",15769478491,15769478491,3341046,1625221695,1620720334
16401,"0xC1612baFFd9aE385B5eaEB7f3e1f1B051c3c4816",10000000000,35000000000,3320109,1627640895,1620083105
11867,"0x0f67D413d13258D39da3498e2E08f76863e933dE",764145146,10053886909,3266702,1627640895,1618427531
11795,"0x6aC3FcC7315E8338B19AA2bF4354471c3076dc19",8765406737,8765406737,3266322,1648204095,1618414220
608664,"0x38046a3da9498C13aE9749c5C3FedF0d4B3e2D42",100000000,100000000,3417888,1672396095,1623138715
16509,"0xD547d6eaf4a9213a36A54167E83BC3aBd8DE6B8E",518533093,1469422906,3321618,1627640895,1620127312
14650,"0x0C7c7F87DA98BBee4815071F0470FF4d6ed8419A",607395837,607395837,3288316,1650623295,1619114063
10509,"0xa380D05dDD16f2A8fB67CAc535FE0B2E400f0133",732269515201,772269515201,3244855,1642156095,1617714002
608157,"0x071720E09F85dF0F01875183F854f7C46D09E69f",453743697,453743697,3416976,1707474495,1623109427
12744,"0x3519e6FAB4Dd9021138186A0C83999b59F51704E",4502273179,4502273179,3274742,1630060095,1618688375
11104,"0x2913404e9CD1E96AE4CDC6D468836A01a1c0F66c",102700000000,102700000000,3250801,1650623295,1617907451
619288,"0xAf6aB9e64f0Dc20f40F7cD6e342f0ab4EC2CB4cB",1800000000,1800000000,3424206,1705055295,1623345355
29245,"0x1474446e27AE004bB77bCB4B2fEa64dBdB476491",528593693,528593693,3344346,1651832895,1620822649
16328,"0xe9f2159941BE08c6B0219AA0f8eEE259104Ff393",1000000000,1000000000,3319538,1628850495,1620066050
77024,"0xCE5Db5cb0B58F08261D1736C150d9e51248daA4C",13834413860,13834413860,3385628,1627640895,1622128328
15090,"0x7042cA0C2B96D4Fb57308Bf48BD59c511C3442a9",6000000000,6000000000,3299663,1627640895,1619462400
14595,"0x6F50591A8A3C81FFFaA96fc2713dF209efB846B8",2703280717,2703280717,3287932,1634898495,1619102782
12926,"0x981D8Fc19644a307a279d47fA83F8601018BE4f5",41952694,41952694,3282559,1626431295,1618935600
16354,"0xe85A2b9b6e5458B65ceDA669d58e2c3d970e07E4",1500000000,1500000000,3319761,1627640895,1620072877
14939,"0xF883932A1A6b4953b8b0f829c0E3654AcE9a85Cd",1000000000,1000000000,3294600,1628850495,1619305830
76435,"0x11D94CB13F57939BA304b591ac8aC56A63EAdaf6",3000000000,3000000000,3376673,1627640895,1621851507
694429,"0xd056DB7D723D6069A5da9975d35956661eC57422",537428772,537428772,3451192,1657880895,1624216765
76425,"0xdEfD5dBcFbDb19B434368A8B3D87C2bA0C182296",2651606495,2651606495,3375855,1631269695,1621826260
29546,"0xd89286a0cab5A740E664c7A4656bFF3aA08A9C4A",1300000000,3800000000,3345106,1682072895,1620846620
16141,"0xa69F1BAdA7a2122D4E6825D6B088DF4814735631",110000000,177302741,3316863,1707474495,1619986436
16770,"0xc6Ea61a2134A4E171E69A0E29c35E20c90CB3A8B",670239909,2205906997,3327223,1628850495,1620293881
76181,"0xCE5Db5cb0B58F08261D1736C150d9e51248daA4C",1500000000,1500000000,3367120,1625221695,1621552655
610061,"0x78C4842Cb8db6353c4f85386452D2cDE6bf2AEa4",67856787,67856787,3419946,1706264895,1623203932
683825,"0xcc0560F9Bb11FB279b5A4b96Ac3cd0a6278164f2",10047521469,10047521469,3438129,1707474495,1623795254
15583,"0x0a5f29cfC60857c89D05e8B77d553b7519D7E31f",1308047270,1308047270,3310423,1626431295,1619794420
16863,"0x29530279e253835272351920075d51E9a61cD0De",718513812,718513812,3329489,1630060095,1620363153
10489,"0x98c0D7D027bE8fb628c149971Be865f5c0a7e0E8",38516844700,38516844700,3244808,1628850495,1617712372
16826,"0x4B9aD0277fC290E48783315db1CE78ED513DD5D9",25677896466,25677896466,3328410,1628850495,1620330535
12358,"0x8D13FdAF3aF04693655B8D429B2d81823Fb486eE",400000000000,400000000000,3268671,1643365695,1618491986
694388,"0xD8CdF918F6BBCf18b6D5E711Cf6a0F8cB349a54B",10000000013,10000000013,3451160,1626431295,1624215528
12656,"0x4E49F3814DE088AD970B3c6A6dac28c8a067E2fB",2128697617,2128697617,3271176,1650623295,1618574770
15700,"0x0b2C327046b9f66E11752d1220bEd0712B0D0188",300000000,300000000,3311118,1627640895,1619815683
10994,"0x1cdd23e6e203dee8028feB84971f68c5fA7B7658",40000000000,40000000000,3247586,1636108095,1617802734
16244,"0x44eB9755FB6C003fAc5C30bb9DF7661555E5D653",1500000000,1500000000,3318670,1663928895,1620040345
14696,"0x886F6Ab61294E7650De300E0D026b1408f1e160F",35420924361,35420924361,3288786,1628850495,1619128516
30098,"0xc6EC292485F8392e0890B1D5E4ac571816A12D5d",1500000000,1500000000,3363504,1706264895,1621430584
15137,"0xB974e45153D940d5AAA45f39a1d7b421e0f88B0A",21145166566,100040263792,3300833,1650623295,1619497624
28467,"0x2837247F1de9467ED0b26b70eC10984ee9C3D7a1",92000000,92000000,3339521,1626431295,1620673841
606128,"0x513dB75aF7e4A710eF67BcC593b586426F21EFd5",100000000,100000000,3410242,1707474495,1622900688
10330,"0xc27f793dDEDB2F79F74a86f68622c4Bc168cBd1D",20799096138,20799096138,3220653,1626431295,1616918317
29908,"0x3e700B9080778cD7EB22650e2CbF3c337210f365",10000000000,10000000000,3357822,1636108095,1621247884
11345,"0x85A8b2A0a38D4697574172972c404C2FAa4348F7",77033689400,77033689400,3261028,1668767295,1618237280
10539,"0xb2399a666A7E80865E1d15fAea4743F1390ad62E",51107631470,51107631470,3244868,1627640895,1617714445
14486,"0x3FE786eaD512737F8acaf489e645D4eA5378F8d5",173002733,173002733,3286033,1702636095,1619045491
11955,"0x8aE9e107EAfAd53e536807D0DfC62fA4AF4842e6",1087245387,1087245387,3267553,1640946495,1618455630
684209,"0x93ADf181c0D477568aa8c18014cED7fE5074b561",64785026,64785026,3439474,1631269695,1623838721
28762,"0x78B23fA2E4aE2AE35b7057Bf387eFb001418F554",2559353128,2559353128,3342896,1626431295,1620777526
28672,"0x0Fb6cb47619C031272d5BA97B044F2002Db0361E",200000000,200000000,3341966,1707474495,1620748510
29910,"0xF8f4051abCf1e8a18263c6989457bc6F3c8409C5",276783397,276783397,3357847,1705055295,1621248747
47696,"0x51E1D29DeD3e44f0f6266da4bC7F9167374eBF67",800000000,800000000,3365554,1665138495,1621502389
15660,"0xcA332DB422b265d804BebCb61D037f0F2Dab5F80",12500000000,12500000000,3310979,1649413695,1619811144
692275,"0x583681dE66498F9EBe611a37c0f53D26fCe8669F",42844258861,42844258861,3443786,1705055295,1623978398
76620,"0x6b3e663a915E8daD28E7Cfe727CE3b26873A857f",930770484,930770484,3379912,1630060095,1621949694
11141,"0xf902bde9dD9812E9CC436D7A1736bFA0a606EDA5",12000000000,12000000000,3252727,1705055295,1617971682
15925,"0xf549987AD19D170f655952FF66e37901abF0f60a",100000000,700000000,3313738,1682072895,1619894053
15150,"0x62af254964aD0005772C106AE3fc294c3E5b4d83",2500000000,2500000000,3301280,1625221695,1619510656
11475,"0xABBF8a9D5B5BfB455890c6c79C139fe1f6e95D42",18487800000,18487800000,3264486,1642156095,1618352152
12562,"0x41Bc838b602fc0Fa93D88ba8f9e901884b92078c",7100000000,7100000000,3269627,1706264895,1618522512
11010,"0xd15c7650bFF049996f88A73f77E4BC31CD89B0fa",102500000000,102500000000,3247966,1707474495,1617815869
610147,"0xD346b48De240Ca97a8Bbe974409Ba14fEfB7028d",200000000,200000000,3420109,1642156095,1623209075
15860,"0xDF77c352D9BF10788eabDBbF1817c6f89e1727aD",100000000,100000000,3312847,1639736895,1619867576
28637,"0x70F946D149e62eaA199cc2fd331374F81F2A777E",5900000000,5900000000,3341682,1645784895,1620739646
13027,"0x507382FeC4DA4aa326B46dF753bB836920500585",3451722210,3451722210,3283132,1626431295,1618953071
28480,"0x068705aC7fd46865865E4A35Cd47b901Ff2C5442",1305829406,1305829406,3339598,1636108095,1620675898
15022,"0x50375458dAEb8ad0A3022FCC56F40c8Ea93D9117",283882150,283882150,3297060,1633688895,1619381858
