"id","staker","amount","block","previous_date","new_date","timestamp"
5856,"0x78eE1bD9D7900D8D807e04a9E6a9404ccA5bAbf6",13090486934,3377082,1621592895,1632479295,1621864075
6476,"0xd507D4Af71088BAfbf2eA0CdB6962694F850DE01",102700000000,3419280,1621592895,1625221695,1623183044
39,"0x3587B15f7865D4F3F5cA15D29d197bB2f1E6309d",53944667728,3263187,1619173695,1625221695,1618306897
3772,"0x8664E763266054F57fAA8E62F7FBDa16722178A6",2066302272,3347880,1621592895,1714732095,1620933500
5784,"0xda77a5ac1Bc424d89Aec3ec5581C71A0F578D5cF",16601568371,3374983,1624012095,1705055295,1621799406
6474,"0x11F22509947faA978D020b74b342ef1E169B1b28",3037873040,3419212,1624012095,1627640895,1623180858
155,"0x4789AA0649B0ee6bC5b593Dbdec63CC5789242E3",10725847370,3271411,1624012095,1632479295,1618583150
6770,"0x2C0A07CCc54Ae3852039Cb9bF05664A661Ee51d7",70000000000,3434494,1622802495,1625221695,1623675588
4493,"0x0456515e5cFf85ad245b4bcd33EBdb28dA6a6493",100000000,3352280,1621592895,1707474495,1621073181
5590,"0x8FeBB77242f57e259666F777fDBC2485cd5455Af",1522061119,3365320,1621592895,1640946495,1621494574
8305,"0x8bCb0f003e68B8778c75f40861d54373847ec22D",13030064281,3453921,1624012095,1628850495,1624307333
5711,"0xdc9b170f596Fb1A183B3A1F31D1b074d33218381",10910000000,3368030,1621592895,1627640895,1621581671
1742,"0xd44554b8131492C8373BB96f0fe2887b7959c628",2001353312,3332604,1620383295,1705055295,1620460788
6615,"0xa380D05dDD16f2A8fB67CAc535FE0B2E400f0133",300000000000,3426189,1622802495,1654252095,1623409277
8966,"0xb51ECd588c661681918ab4B302C79500Fabb0043",51355792933,3518825,1624012095,1697797695,1626363388
8804,"0xC314A4C45367303378A92eaA079E2c7E3130F21d",3526158803,3502733,1624012095,1628850495,1625854836
6749,"0x8bCeF13C3195C59Ee104625EC66d54C93B8EEF61",369000000,3432837,1622802495,1640946495,1623623467
2402,"0x0f9962D18E2C6c500a686607A2D6fFBB1CdF5611",300000000,3341452,1621592895,1625221695,1620733047
299,"0xc00A397e5328527734D5F44638C401658f939819",98955382087,3283014,1617964095,1631269695,1618949116
6553,"0x78eE1bD9D7900D8D807e04a9E6a9404ccA5bAbf6",5509939307,3421172,1624012095,1632479295,1623244321
5768,"0xc375B9D01d5434FE0C565ea8D4E6b286cd110F8A",12000000000,3372433,1621592895,1625221695,1621718877
1761,"0xe42FC3F7a0828ECEBd3808270a99E06556572C4B",200000000000,3333637,1619173695,1627640895,1620494889
1748,"0x3FD5AB08072d132D5aBa132a272896ce844B131a",671298118,3332854,1619173695,1625221695,1620469414
653,"0xa62Cefa89D3655F625Dc68B988B223aE469A26BA",200000000,3309888,1620383295,1627640895,1619778684
6477,"0xcECf0325375f1ce0085bBFa8415403663c99BAb7",100000000,3419340,1621592895,1633688895,1623184920
8059,"0x95Dd613aeadEe328DE31C073d4C7653781743898",15000000000,3437929,1622802495,1632479295,1623788542
